complaint_text,product
# ------------------- ELECTRICITY -------------------
light gone,Electricity
bijli chali gayi,Electricity
power cut,Electricity
no current,Electricity
electrcity issue,Electricity
fuse down,Electricity
streetlight broken,Electricity
ligt blink,Electricity
power outage,Electricity
light fuse,Electricity
bulb burst,Electricity
tar tut gaya,Electricity
wire tut gayi,Electricity
transformer phat gaya,Electricity
light blink ho rahi hai,Electricity
bijli gayi,Electricity
light,Electricity
power,Electricity
current,Electricity
bijli,Electricity
light chali gayi,Electricity
light nahi aa rahi,Electricity
bijli band ho gayi,Electricity
power chala gaya,Electricity
power supply gone,Electricity
light cut ho gaya,Electricity
load shedding ho rahi hai,Electricity
current nahi hai,Electricity
bijli kaam nahi kar rahi,Electricity
tar latak raha hai,Electricity
tar loose hai,Electricity
wire jhul raha hai,Electricity
transformer se awaaz aa rahi,Electricity
transformer se dhuaan aa raha,Electricity
electric pole gir gaya,Electricity
bijli blink kar rahi hai,Electricity
light on off ho rahi hai,Electricity
current aa jaata hai fir chala jaata hai,Electricity
phase cut ho gaya,Electricity
single phase only,Electricity
3 phase nahi aa raha,Electricity
electric short circuit,Electricity
electric spark,Electricity
pole se spark aa raha,Electricity
meter kaam nahi kar raha,Electricity
meter band hai,Electricity
electric meter damage,Electricity
fuse ud gaya,Electricity
fuse box broken,Electricity
streetlight on nahi hai,Electricity
street light damage,Electricity
street light jal nahi rahi,Electricity
streetlight band,Electricity
pole light fuse,Electricity
light ka bulb foot gaya,Electricity
bulb kharab ho gaya,Electricity
tube light flicker kar rahi hai,Electricity
tube light band hai,Electricity
current weak hai,Electricity
voltage low,Electricity
voltage high,Electricity
light ki voltage zyada hai,Electricity
current se shock lag raha,Electricity
electric wire cut,Electricity
tar toot gaya,Electricity
pole gir gaya,Electricity
tar zameen pe gir gaya,Electricity
wire se chingari,Electricity
electric wire leak current,Electricity
switch board heat ho raha hai,Electricity
plug se spark aa raha,Electricity
socket damage,Electricity
plug kaam nahi kar raha,Electricity
apartment mein bijli gayi,Electricity
ghar mein light nahi hai,Electricity
office ka power cut,Electricity
shop ka bijli band,Electricity
market mein power nahi,Electricity
factory mein bijli gayi,Electricity
school mein light chali gayi,Electricity
hospital mein light band,Electricity
emergency power cut,Electricity
generator start nahi ho raha,Electricity
UPS kaam nahi kar raha,Electricity
inverter charge nahi ho raha,Electricity
electric panel damage,Electricity
MCB trip ho gaya,Electricity
electric board kaam nahi kar raha,Electricity
overhead wire damage,Electricity
underground cable cut,Electricity
electric pole bend,Electricity
tar loose ho gaya,Electricity
line se current nahi aa raha,Electricity
power restore karo,Electricity
light jalane ka request,Electricity
streetlight repair karo,Electricity
transformer replace karo,Electricity
tar fix karo,Electricity
voltage issue fix karo,Electricity
line kaam nahi kar rahi,Electricity
electric fault,Electricity
electric repair chahiye,Electricity
electric kaam pending,Electricity
load shedding problem,Electricity
light blink fix karo,Electricity
electric supply irregular,Electricity
current kab aayega,Electricity
bijli kab aayegi,Electricity
power ka time batao,Electricity
power cut schedule,Electricity
unexpected power cut,Electricity
sudden power cut,Electricity
line testing ho rahi hai,Electricity
electric wire hanging,Electricity
electric pole broken,Electricity
wire joint loose,Electricity
transformer blast,Electricity
tar se fire,Electricity
light repair urgent,Electricity
power failure,Electricity
electric blackout,Electricity
electric shutdown,Electricity
electric tripping,Electricity
short circuit repair,Electricity
power surge,Electricity
voltage fluctuation,Electricity
low voltage supply,Electricity
high voltage problem,Electricity
electric burn smell,Electricity
burning wire smell,Electricity
main switch off,Electricity
main line cut,Electricity
power ka connection cut,Electricity
bijli ka bill issue,Electricity
meter reading wrong,Electricity
meter ka display off,Electricity
meter seal broken,Electricity
meter change chahiye,Electricity
electric bill zyada aaya,Electricity
electric disconnection,Electricity
electric reconnection,Electricity
light repair karo,Electricity
power restore karo urgent,Electricity
tar replace karo,Electricity
pole repair karo,Electricity
streetlight install karo,Electricity
light jal nahi rahi,Electricity
lamp fuse ho gaya,Electricity
lamp post down,Electricity
pole wire loose,Electricity
electric accident,Electricity
electric hazard,Electricity
shock danger,Electricity
electric safety issue,Electricity
electric problem urgent,Electricity


# ------------------- WATER SUPPLY -------------------
tap water dirty,Water Supply
no water,Water Supply
paani nahi aa raha,Water Supply
water cut,Water Supply
tap dry,Water Supply
low water,Water Supply
paani ka pressure kam hai,Water Supply
water leak,Water Supply
pipe leak ho gaya,Water Supply
tank khaali,Water Supply
paani mein badbu hai,Water Supply
muddy water,Water Supply
smelly water,Water Supply
water shortage,Water Supply
nal ka paani ganda hai,Water Supply
paani,Water Supply
water,Water Supply
nal,Water Supply
pipe,Water Supply
tank,Water Supply
no water at home,Water Supply
ghar mein paani nahi aa raha,Water Supply
water cut ho gaya,Water Supply
paani band hai,Water Supply
no water supply,Water Supply
paani ka supply band,Water Supply
tap dry hai,Water Supply
nal se paani nahi aa raha,Water Supply
pipe se paani band,Water Supply
paani nahi aa raha subah se,Water Supply
water ka pressure low,Water Supply
paani ka pressure kam hai,Water Supply
low water pressure,Water Supply
tap water slow,Water Supply
pipe leak ho gaya,Water Supply
paani leak ho raha hai,Water Supply
water leakage from pipe,Water Supply
pipe se paani gir raha hai,Water Supply
tank khaali ho gaya,Water Supply
water tank empty,Water Supply
paani khatam ho gaya,Water Supply
paani nahi bhar raha,Water Supply
tap se ganda paani aa raha,Water Supply
dirty water supply,Water Supply
paani ka rang badal gaya,Water Supply
brown water aa raha,Water Supply
muddy water aa raha,Water Supply
smelly water supply,Water Supply
paani mein badbu hai,Water Supply
water me gandagi hai,Water Supply
nal ka paani ganda hai,Water Supply
water contaminated,Water Supply
paani unsafe hai,Water Supply
paani peene layak nahi hai,Water Supply
paani filter nahi hai,Water Supply
tap broken hai,Water Supply
nal tut gaya,Water Supply
water tap damage,Water Supply
tap ka handle toot gaya,Water Supply
pipe burst ho gaya,Water Supply
pipeline damage,Water Supply
underground pipe leak,Water Supply
overhead tank leak,Water Supply
paani overflow ho raha hai,Water Supply
water overflow,Water Supply
tank se paani gir raha hai,Water Supply
paani bhar gaya tank se,Water Supply
motor kaam nahi kar raha,Water Supply
water pump broken,Water Supply
pump ka switch kaam nahi kar raha,Water Supply
pump se paani nahi aa raha,Water Supply
motor repair chahiye,Water Supply
motor se awaz aa rahi,Water Supply
motor burn smell,Water Supply
water meter kaam nahi kar raha,Water Supply
paani ka bill galat hai,Water Supply
paani ka connection cut,Water Supply
water supply time change,Water Supply
paani jaldi band ho gaya,Water Supply
water timing problem,Water Supply
paani ka schedule change,Water Supply
night water supply band,Water Supply
morning water supply band,Water Supply
water tanker chahiye,Water Supply
paani tanker ki request,Water Supply
emergency water chahiye,Water Supply
no water from tanker,Water Supply
tanker late aaya,Water Supply
tanker se ganda paani aaya,Water Supply
pipe mein hawa aa rahi hai,Water Supply
air lock in water pipe,Water Supply
paani ka flow irregular,Water Supply
water ka flow ruk gaya,Water Supply
paani pressure zyada hai,Water Supply
high pressure se pipe foot gaya,Water Supply
paani se awaz aa rahi,Water Supply
pipe line block ho gaya,Water Supply
water blockage in pipe,Water Supply
line flush karni hai,Water Supply
line mein kachra jam gaya,Water Supply
water ka taste kharab hai,Water Supply
paani mein tel ki smell hai,Water Supply
water smell chemical,Water Supply
chlorine smell zyada hai,Water Supply
water chlorination needed,Water Supply
water filter change karo,Water Supply
RO kaam nahi kar raha,Water Supply
filter water slow hai,Water Supply
paani ki supply irregular,Water Supply
barish mein paani band ho gaya,Water Supply
summer mein paani kam hai,Water Supply
winter mein paani late aata hai,Water Supply
paani ka complaint register karo,Water Supply
jal board ko complaint,Water Supply
water department call karo,Water Supply
jal board ka number chahiye,Water Supply
water supply restore karo,Water Supply
paani ka pressure badhao,Water Supply
pipe repair urgent,Water Supply
motor repair urgent,Water Supply
tank clean karo,Water Supply
overhead tank saaf nahi hai,Water Supply
underground tank saaf karo,Water Supply
paani ka taste change karo,Water Supply
filtered water chahiye,Water Supply
jal supply theek karo,Water Supply
no water since morning,Water Supply
no water since yesterday,Water Supply
water issue urgent,Water Supply
paani ka problem solve karo,Water Supply
paani ka shortage fix karo,Water Supply
paani ka leak repair karo,Water Supply
pipeline change karo,Water Supply
tanker paani jaldi bhejo,Water Supply
emergency jal supply,Water Supply
tap ka nut tight karo,Water Supply
tap fitting theek karo,Water Supply
water ka filter install karo,Water Supply
motor fitting karo,Water Supply
paani ka line extend karo,Water Supply
ghar tak paani ka connection do,Water Supply
pipe ka valve change karo,Water Supply
paani ka bill clear karo,Water Supply
water meter repair karo,Water Supply
paani ka record wrong hai,Water Supply
jal ka connection cut mat karo,Water Supply
jal ka bill zyada aaya,Water Supply


# ------------------- SANITATION -------------------
garbage collection missed,Sanitation
kooda nahi utha,Sanitation
overflowing dustbin,Sanitation
waste not cleared,Sanitation
gali ganda hai,Sanitation
trash on road,Sanitation
dirty street,Sanitation
unclean area,Sanitation
garbage smell,Sanitation
garbage heap,Sanitation
kachra bahut jama ho gaya,Sanitation
cleaning staff nahi aaya,Sanitation
public bin full,Sanitation
unclean drains,Sanitation
waste,Sanitation
kachra,Sanitation
kooda,Sanitation
garbage,Sanitation
dustbin,Sanitation
refuse,Sanitation
garbage not collected,Sanitation
kooda nahi utha,Sanitation
kachra nahi uthaya,Sanitation
dustbin overflow ho raha hai,Sanitation
dustbin full hai,Sanitation
overflowing bin,Sanitation
garbage heap road pe,Sanitation
kachra road pe phela hai,Sanitation
gali ganda hai,Sanitation
street dirty hai,Sanitation
unclean gali,Sanitation
gali mein badbu hai,Sanitation
smelly street,Sanitation
garbage smell aa raha,Sanitation
kachra ki badbu,Sanitation
foul smell from waste,Sanitation
public dustbin full hai,Sanitation
bin ka cover missing,Sanitation
garbage dump road ke side,Sanitation
kachra dump ho gaya,Sanitation
street pe waste,Sanitation
road pe kachra,Sanitation
waste scattered,Sanitation
trash everywhere,Sanitation
unclean drains,Sanitation
drain mein kachra,Sanitation
nali mein waste,Sanitation
garbage blocking drain,Sanitation
kachra bahut jama hai,Sanitation
waste collection late,Sanitation
garbage truck late,Sanitation
kachra gaadi nahi aayi,Sanitation
waste van nahi aayi,Sanitation
municipal waste gaadi missing,Sanitation
garbage pick up missed,Sanitation
cleaning staff absent,Sanitation
safai karmchari nahi aaya,Sanitation
safai staff absent,Sanitation
street cleaning nahi hui,Sanitation
area dirty hai,Sanitation
public area dirty,Sanitation
garden mein kachra,Sanitation
park dirty,Sanitation
playground mein garbage,Sanitation
school ke paas waste,Sanitation
hospital ke bahar garbage,Sanitation
market area dirty,Sanitation
market mein foul smell,Sanitation
safai nahi ho rahi,Sanitation
daily cleaning nahi hoti,Sanitation
weekly cleaning missing,Sanitation
dirty colony,Sanitation
area unhygienic hai,Sanitation
garbage flies aa rahe,Sanitation
kachra pe machhar,Sanitation
waste pe keede makode,Sanitation
garbage se bimari fail rahi,Sanitation
kachra se smell bahut hai,Sanitation
garbage se gandagi fail rahi,Sanitation
open garbage dump,Sanitation
garbage without cover,Sanitation
waste ka dhankna missing,Sanitation
kachra openly phela hai,Sanitation
waste openly dump hua,Sanitation
plastic waste road pe,Sanitation
plastic bags scattered,Sanitation
paper waste everywhere,Sanitation
construction waste road pe,Sanitation
mala kachra jama hai,Sanitation
debris road pe,Sanitation
building waste road pe,Sanitation
waste ka removal karo,Sanitation
garbage removal request,Sanitation
kachra saaf karo,Sanitation
dustbin clean karo,Sanitation
public bin wash karo,Sanitation
bin ka dhakkan lagao,Sanitation
garbage pick up karo,Sanitation
truck bhejo waste le jane,Sanitation
kachra van bhejo,Sanitation
garbage clearance chahiye,Sanitation
bin replace karo,Sanitation
broken bin replace karo,Sanitation
damaged bin replace karo,Sanitation
waste segregation nahi hua,Sanitation
